,0,1,2,3,output
49,1,2,5,5,1
221,2,4,5,2,1
469,4,4,4,5,1
46,1,2,5,2,1
267,3,1,4,3,1
10,1,1,3,1,1
53,1,3,1,4,1
257,3,1,2,3,1
94,1,4,4,5,1
292,3,2,4,3,1
379,4,1,1,5,1
37,1,2,3,3,1
146,2,1,5,2,1
544,5,2,4,5,1
65,1,3,4,1,1
348,3,4,5,4,1
6,1,1,2,2,1
383,4,1,2,4,1
398,4,1,5,4,1
92,1,4,4,3,1
516,5,1,4,2,1
108,1,5,2,4,1
143,2,1,4,4,1
574,5,3,5,5,1
89,1,4,3,5,1
439,4,3,3,5,1
188,2,3,3,4,1
197,2,3,5,3,1
141,2,1,4,2,1
69,1,3,4,5,1
131,2,1,2,2,1
271,3,1,5,2,1
217,2,4,4,3,1
397,4,1,5,3,1
269,3,1,4,5,1
249,2,5,5,5,1
392,4,1,4,3,1
192,2,3,4,3,1
309,3,3,2,5,1
147,2,1,5,3,1
244,2,5,4,5,1
448,4,3,5,4,1
218,2,4,4,4,1
170,2,2,5,1,1
34,1,2,2,5,1
23,1,1,5,4,1
27,1,2,1,3,1
222,2,4,5,3,1
193,2,3,4,4,1
248,2,5,5,4,1
409,4,2,2,5,1
447,4,3,5,3,1
124,1,5,5,5,1
319,3,3,4,5,1
258,3,1,2,4,1
265,3,1,4,1,1
542,5,2,4,3,1
7,1,1,2,3,1
119,1,5,4,5,1
79,1,4,1,5,1
72,1,3,5,3,1
96,1,4,5,2,1
28,1,2,1,4,1
291,3,2,4,2,1
196,2,3,5,2,1
449,4,3,5,5,1
20,1,1,5,1,1
547,5,2,5,3,1
118,1,5,4,4,1
16,1,1,4,2,1
11,1,1,3,2,1
318,3,3,4,4,1
83,1,4,2,4,1
138,2,1,3,4,1
41,1,2,4,2,1
17,1,1,4,3,1
343,3,4,4,4,1
524,5,1,5,5,1
507,5,1,2,3,1
82,1,4,2,3,1
99,1,4,5,5,1
148,2,1,5,4,1
322,3,3,5,3,1
139,2,1,3,5,1
314,3,3,3,5,1
116,1,5,4,2,1
19,1,1,4,5,1
393,4,1,4,4,1
111,1,5,3,2,1
382,4,1,2,3,1
418,4,2,4,4,1
142,2,1,4,3,1
573,5,3,5,4,1
272,3,1,5,3,1
64,1,3,3,5,1
161,2,2,3,2,1
388,4,1,3,4,1
42,1,2,4,3,1
261,3,1,3,2,1
149,2,1,5,5,1
