,0,1,2,3,4,5,6,7,8,output
404,o,o,x,b,b,x,x,o,x,1
408,o,o,b,x,x,x,x,o,b,1
403,o,o,x,b,o,b,x,x,x,1
335,o,x,o,o,b,b,x,x,x,1
483,o,b,b,b,b,o,x,x,x,1
247,x,b,o,x,o,x,x,o,b,1
177,x,o,o,o,b,b,x,x,x,1
31,x,x,x,o,o,b,b,x,o,1
479,o,b,b,o,x,o,x,x,x,1
361,o,x,b,b,x,o,b,x,b,1
579,b,o,b,x,x,x,o,b,b,1
79,x,x,o,x,o,x,x,o,o,1
481,o,b,b,o,b,b,x,x,x,1
228,x,b,x,o,x,o,x,b,o,1
184,x,o,o,b,x,b,b,b,x,1
238,x,b,x,b,o,x,o,o,x,1
277,x,b,b,x,o,x,x,o,o,1
290,x,b,b,o,x,b,o,b,x,1
192,x,o,b,x,x,o,o,b,x,1
304,o,x,x,o,x,b,x,b,o,1
104,x,x,b,x,b,o,x,o,o,1
421,o,o,b,b,b,b,x,x,x,1
523,b,x,b,b,x,o,o,x,b,1
272,x,b,o,b,x,b,o,b,x,1
442,o,b,x,o,b,x,x,o,x,1
589,b,b,x,x,o,x,o,o,x,1
318,o,x,o,x,x,x,x,o,o,1
137,x,o,x,b,x,o,x,b,o,1
352,o,x,b,o,x,o,x,x,b,1
606,b,b,x,b,o,x,b,o,x,1
364,o,x,b,b,o,o,x,x,x,1
622,b,b,b,x,x,x,b,o,o,1
436,o,b,x,o,x,b,x,x,o,1
321,o,x,o,x,x,x,o,b,b,1
60,x,x,x,b,o,o,b,x,o,1
600,b,b,x,o,b,x,o,b,x,1
234,x,b,x,o,o,x,b,o,x,1
393,o,o,x,b,x,x,x,b,o,1
101,x,x,b,x,o,o,x,o,b,1
289,x,b,b,o,x,o,b,b,x,1
213,x,o,b,o,x,b,b,b,x,1
609,b,b,o,x,x,x,o,x,o,1
66,x,x,x,b,o,b,o,b,b,1
84,x,x,o,x,b,o,x,o,b,1
212,x,o,b,o,x,b,o,x,x,1
81,x,x,o,x,o,o,x,b,b,1
259,x,b,o,o,x,x,o,b,x,1
569,b,o,o,x,o,b,x,x,x,1
108,x,x,b,o,x,o,b,o,x,1
33,x,x,x,o,o,b,b,b,b,1
593,b,b,x,o,x,o,x,o,x,1
367,o,o,x,x,x,x,o,o,x,1
390,o,o,x,o,b,x,b,x,x,1
370,o,o,x,x,x,x,b,b,o,1
132,x,o,x,o,o,x,o,x,x,1
349,o,x,b,x,x,o,b,x,o,1
77,x,x,x,b,b,b,b,o,o,1
268,x,b,o,b,x,x,o,o,x,1
63,x,x,x,b,o,b,x,o,o,1
301,o,x,x,o,x,o,x,b,b,1
497,b,x,o,x,x,x,o,b,o,1
46,x,x,x,o,b,b,o,o,x,1
296,o,x,x,x,x,o,o,x,o,1
382,o,o,x,o,x,x,x,o,x,1
528,b,o,x,x,x,x,b,o,o,1
90,x,x,o,o,x,o,b,x,b,1
30,x,x,x,o,o,b,o,b,x,1
514,b,x,o,b,x,b,b,x,o,1
407,o,o,x,b,b,o,x,x,x,1
369,o,o,x,x,x,x,b,o,b,1
9,x,x,x,x,b,o,o,o,b,1
82,x,x,o,x,o,b,x,o,b,1
167,x,o,o,x,b,b,x,x,o,1
429,o,b,x,x,o,x,b,o,x,1
89,x,x,o,o,x,o,o,x,x,1
