,0000,0001_0,0001_1,0001_2,0001_3,0001_4,0001_5,0001_6,0002_0,0002_1,0002_2,0002_3,0003_-1,0003_-2,0003_0,0003_1,0003_2,0003_3,0003_4,0003_5,0003_6,0003_7,0003_8,0004_-1,0004_-2,0004_0,0004_1,0004_2,0004_3,0004_4,0004_5,0004_6,0004_7,0004_8,0005_-1,0005_-2,0005_0,0005_1,0005_2,0005_3,0005_4,0005_5,0005_6,0005_7,0005_8,0006_-1,0006_-2,0006_0,0006_1,0006_2,0006_3,0006_4,0006_5,0006_6,0006_7,0006_8,0007_-1,0007_-2,0007_0,0007_2,0007_3,0007_4,0007_5,0007_6,0007_7,0007_8,0008_-1,0008_-2,0008_0,0008_2,0008_3,0008_4,0008_5,0008_6,0008_7,0008_8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,output
6820,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4047591454224674,-0.3781291351452691,1.7993526029859912,1.7291900959009867,1.8566853435180937,2.1378398463847432,2.3741407456989743,2.1658689001675517,0.03498275370870395,0.019740750798947368,0.15427782799238487,0.2198356578611557,10.812937589313174,0.044241994437609684,0
19685,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.9054982522888292,0.27278889982004817,-0.5546891329391316,-0.5336194614496942,-0.4678584306203946,-0.4547510917351586,-0.4191779269017365,-0.32869414829338073,-0.28156609853864845,-0.10247889131384644,-0.296801274077391,-0.24422964521769594,-0.009385204498343005,-0.2533306875011557,0
20251,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.5972023940038184,2.008570326394228,-0.695641827815454,-0.6909834294244078,-0.6779286756012541,-0.6724972686395966,-0.633369148082651,-0.6527242181386989,-0.34194161870789364,-0.2569895184166682,-0.296801274077391,-0.19284414742148195,-0.3141361173103375,-0.2933820579246719,0
6944,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.057684642005049115,1.574624969750683,-0.6785167340454336,-0.6592155783895125,-0.6578849056586817,-0.6664349464670716,-0.6566436510753553,-0.6527242181386989,-0.2054325676052303,-0.19666093086809447,-0.2746505752852464,-0.2831677242930879,-0.3141361173103375,-0.24950555661801085,0
20518,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.982572216860082,-0.9205608309497002,-0.5573780850140436,-0.5356146117579451,-0.512517103650716,-0.4894462278609943,-0.4548216357251924,-0.4401408795761385,-0.1910028182847807,-0.1701857953251953,-0.2116062787229886,-0.15933186625003806,-0.16359335539719588,-0.2371301331725424,0
13259,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.4837946494200058,-1.0290471701105863,-0.6936726457403922,-0.64144188022094,-0.5552146596219081,-0.5507689482984591,-0.5172598077112737,-0.4706178747966003,-0.12458974609861102,0.11236032333754893,-0.06961461979898463,0.011102020850448008,0.013130756413883395,0.010265831887323428,0
24834,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.406720684848753,-0.5951018134670415,-0.6843427968744096,-0.6909834294244078,-0.6513382354759999,-0.6530978376875164,-0.6493734529673869,-0.6457388572507032,-0.34194161870789364,-0.1769564857263302,-0.296801274077391,-0.3080625617347319,-0.3141361173103375,-0.2465804565309001,0
3804,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.0596461814313347,-1.137533509271473,-0.2916878911070804,-0.4618362014155146,-0.6024400888031488,-0.6239676024277423,-0.4747900079040919,-0.6205848413607573,-0.1910028182847807,-0.191148894451786,-0.18320794693818784,0.422569000719262,-0.18885835804870574,0.08344958598984398,0
1067,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5589070745649728,0.8152205956244792,-0.6916898830992955,-0.6868947763279221,-0.6737324618938524,-0.6679738436339433,-0.6582720438642441,-0.6478378238636826,-0.3243723423386433,-0.2443595767068589,-0.2802734449786369,-0.2894871830282744,-0.2950891852595879,-0.27701274782180224,0
17824,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.9054982522888292,-1.137533509271473,-0.12202587963295995,-0.08317915347635993,-0.16880249908153927,-0.3134834406994982,-0.3510321559485397,-0.3250503422532484,-0.2328430537620676,-0.19600990294490847,-0.21921703164131526,-0.24422964521769594,-0.2486827425654933,-0.2371301331725424,0
